station,month,year,value
Mandir Marg,Aug,2013,0
Mandir Marg,Sep,2013,0
Mandir Marg,Oct,2013,0
Mandir Marg,Nov,2013,0
Mandir Marg,Dec,2013,0
Mandir Marg,Jan,2014,0
Mandir Marg,Feb,2014,0
Mandir Marg,Mar,2014,0
Mandir Marg,Apr,2014,0
Mandir Marg,May,2014,0
Mandir Marg,Jun,2014,0
Mandir Marg,Jul,2014,0
Mandir Marg,Aug,2014,0
Mandir Marg,Sep,2014,0
Mandir Marg,Oct,2014,0
Mandir Marg,Nov,2014,0
Mandir Marg,Dec,2014,0
Mandir Marg,Jan,2015,0
Mandir Marg,Feb,2015,0
Mandir Marg,Mar,2015,0
Mandir Marg,Apr,2015,24
Mandir Marg,May,2015,27
Mandir Marg,Jun,2015,30
Mandir Marg,Jul,2015,31
Mandir Marg,Aug,2015,30
Mandir Marg,Sep,2015,30
Mandir Marg,Oct,2015,26
Mandir Marg,Nov,2015,30
Mandir Marg,Dec,2015,24
Mandir Marg,Jan,2016,31
Mandir Marg,Feb,2016,29
Mandir Marg,Mar,2016,29
Mandir Marg,Apr,2016,22
Mandir Marg,May,2016,28
Mandir Marg,Jun,2016,30
Mandir Marg,Jul,2016,31
Mandir Marg,Aug,2016,24
Mandir Marg,Sep,2016,30
Mandir Marg,Oct,2016,30
Mandir Marg,Nov,2016,30
Mandir Marg,Dec,2016,31
Mandir Marg,Jan,2017,29
Mandir Marg,Feb,2017,26
Mandir Marg,Mar,2017,31
Mandir Marg,Apr,2017,19
Mandir Marg,May,2017,6
Mandir Marg,Jun,2017,30
Mandir Marg,Jul,2017,31
Mandir Marg,Aug,2017,31
Mandir Marg,Sep,2017,30
Mandir Marg,Oct,2017,31
Mandir Marg,Nov,2017,13
Mandir Marg,Dec,2017,0
Punjabi Bagh,Jan,2011,0
Punjabi Bagh,Feb,2011,0
Punjabi Bagh,Mar,2011,0
Punjabi Bagh,Apr,2011,8
Punjabi Bagh,May,2011,29
Punjabi Bagh,Jun,2011,26
Punjabi Bagh,Jul,2011,26
Punjabi Bagh,Aug,2011,1
Punjabi Bagh,Sep,2011,23
Punjabi Bagh,Oct,2011,28
Punjabi Bagh,Nov,2011,2
Punjabi Bagh,Dec,2011,0
Punjabi Bagh,Jan,2012,21
Punjabi Bagh,Feb,2012,24
Punjabi Bagh,Mar,2012,28
Punjabi Bagh,Apr,2012,25
Punjabi Bagh,May,2012,25
Punjabi Bagh,Jun,2012,0
Punjabi Bagh,Jul,2012,21
Punjabi Bagh,Aug,2012,31
Punjabi Bagh,Sep,2012,24
Punjabi Bagh,Oct,2012,29
Punjabi Bagh,Nov,2012,28
Punjabi Bagh,Dec,2012,31
Punjabi Bagh,Jan,2013,29
Punjabi Bagh,Feb,2013,26
Punjabi Bagh,Mar,2013,11
Punjabi Bagh,Apr,2013,18
Punjabi Bagh,May,2013,0
Punjabi Bagh,Jun,2013,0
Punjabi Bagh,Jul,2013,0
Punjabi Bagh,Aug,2013,0
Punjabi Bagh,Sep,2013,0
Punjabi Bagh,Oct,2013,0
